fight_id,fighter_id,opening,closing_range_min,closing_range_max
9444cfe0c7c0f6a7,00e11b5c8b7bfeeb,150,-186,-185
9b10db4499b211b7,00e11b5c8b7bfeeb,-600,-1050,-1000
ff389a4326fc9255,00e11b5c8b7bfeeb,120,130,141
18cfc2f58d20c0f2,010986ee359fb863,215,190,190
c795c4b7beb89bee,010986ee359fb863,130,155,155
db620510bbb3f0af,010986ee359fb863,230,270,270
16109688429c09de,0112352cb32f5026,295,400,460
6ed495c177d69a3a,0112352cb32f5026,240,575,700
77acb96700e89c92,0112352cb32f5026,155,-104,115
983fab4080743ed0,0112352cb32f5026,185,164,188
e6851877e33d343f,0112352cb32f5026,220,188,205
f995ed679ef8bdf4,0112352cb32f5026,280,250,310
6190569c372725bf,013da757877044a2,145,170,170
7f0e469103ab46b6,013da757877044a2,320,380,380
2a03bc4c491b4c9a,01641ba5df0c69b0,-400,-450,-400
3a81276a9641c6a1,01641ba5df0c69b0,-350,-654,-500
4327fe98e1b6f222,01641ba5df0c69b0,-275,-375,-333
4e224ebb6394611d,01641ba5df0c69b0,-300,-175,-160
7b9f169016746f81,01641ba5df0c69b0,-198,-250,-220
7ed9e8f3258446c7,01641ba5df0c69b0,-140,-190,-170
dad759ec50508147,01641ba5df0c69b0,-430,-450,-350
711f00d287344c77,016a8d958883167c,-120,-200,-190
80cf37627a129145,016a8d958883167c,-175,-227,-170
8adc6266a7c2fd40,016a8d958883167c,220,400,415
97125cd6a94b6394,016a8d958883167c,175,500,500
9c256e94c6b584b6,016a8d958883167c,260,550,550
b3096e8dd4e90718,016a8d958883167c,145,-165,-160
bfd672cac0726a9a,016a8d958883167c,-300,-253,-225
e5fbb99bc3907516,016a8d958883167c,-245,118,120
711f00d287344c77,01784fbc27c68b14,100,165,170
7ddd21d48e3b34b9,01784fbc27c68b14,160,150,159
8b79a80f775d9f03,01784fbc27c68b14,-300,-420,-350
b3caae587e956f54,01784fbc27c68b14,-120,125,129
086c2a0cae0835c4,01afe0916a40c7c5,-150,-360,-300
1569186ee820ea87,01afe0916a40c7c5,-210,-210,-210
1efc813ccd7a5aba,01afe0916a40c7c5,-245,-810,-599
22fc6b3f4e48cfa3,01afe0916a40c7c5,-435,-560,-450
3c98739eb42f96bf,01afe0916a40c7c5,-275,-556,-435
5b062be91c65fb73,01afe0916a40c7c5,130,-140,-139
6b4c2cc27855506a,01afe0916a40c7c5,-175,-280,-225
02f4277726712796,01b352b6a9074d5c,130,100,100
110f539523a4b571,01b352b6a9074d5c,140,190,210
3387f430abb7e39f,01b352b6a9074d5c,290,300,330
3bcbb0e039f4f5d8,01b352b6a9074d5c,-115,110,120
3f7684492c9df05e,01b352b6a9074d5c,-120,130,135
47230f9b5d7ae037,01b352b6a9074d5c,-155,-230,-188
4d5c3ddc740b89ca,01b352b6a9074d5c,-120,105,120
4f07c6724682cd00,01b352b6a9074d5c,-230,-245,-230
b2ca310c9d0037d3,01b352b6a9074d5c,120,-190,-175
bef2a2e68fb4dfa8,01b352b6a9074d5c,165,245,250
cd63b4144a45b611,01b352b6a9074d5c,170,150,198
d2484d74f819d813,01b352b6a9074d5c,1100,900,1200
d7c7b312279104d2,01b352b6a9074d5c,205,190,210
f26657d5018ee428,01b352b6a9074d5c,-190,-110,-107
f2c82f027201ba21,01b352b6a9074d5c,110,-144,100
2b3a1c063245e280,01d2ed8c502e3828,-135,-160,-160
3657196c2f624138,01f022fa494188e2,155,155,155
19348172178f42ed,01fcef7e3d051722,155,177,190
29df50b2ea446361,01fcef7e3d051722,160,-105,-105
8c8c2499d89da07c,01fcef7e3d051722,260,650,675
a788042d4d0c50d4,01fcef7e3d051722,-140,-140,-135
e6fdf9e67f84a0e0,01fcef7e3d051722,185,265,280
8cd583f6d10692bc,01fed6f61ebea01f,230,260,310
d497d74a0df9e35e,01fed6f61ebea01f,150,112,115
fd7421f421e802bd,01fed6f61ebea01f,170,195,240
0d6d212fcdf47f2e,0232cabbc30a2372,-125,-112,105
20cefe64f4b28be8,0232cabbc30a2372,-350,-2500,-275
43c391b251337c9b,0232cabbc30a2372,-170,-255,-225
